rank,player,position,positionRank,team,age,value
1,Patrick Mahomes,QB,QB 1,KC,27,9999
2,Josh Allen,QB,QB 2,BUF,27,9469
3,Justin Jefferson,WR,WR 1,MIN,23,8988
4,Jalen Hurts,QB,QB 3,PHI,24,8782
5,Joe Burrow,QB,QB 4,CIN,26,8558
6,Ja'Marr Chase,WR,WR 2,CIN,23,8415
7,Justin Herbert,QB,QB 5,LAC,25,7853
8,2023 Round 1 Pick 1,Pick,Pick 1,-,0,7552
9,Bijan Robinson,RB,RB 1,ATL,21,7544
10,Lamar Jackson,QB,QB 6,BAL,26,7449
11,Trevor Lawrence,QB,QB 7,JAX,23,7337
12,CeeDee Lamb,WR,WR 3,DAL,24,6816
13,Garrett Wilson,WR,WR 4,NYJ,22,6552
14,Justin Fields,QB,QB 8,CHI,24,6552
15,A.J. Brown,WR,WR 5,PHI,25,6333
16,Christian McCaffrey,RB,RB 2,SF,26,6281
17,2023 Round 1 Pick 2,Pick,Pick 2,-,0,6169
18,Amon-Ra St. Brown,WR,WR 6,DET,23,6125
19,2023 Early 1st,Pick,Pick 3,-,0,6062
20,Jaylen Waddle,WR,WR 7,MIA,24,5884
21,2024 Early 1st,Pick,Pick 4,-,0,5797
22,Chris Olave,WR,WR 8,NO,22,5566
23,2023 Round 1 Pick 3,Pick,Pick 5,-,0,5424
24,Breece Hall,RB,RB 3,NYJ,22,5341
25,Tyreek Hill,WR,WR 9,MIA,29,5245
26,Anthony Richardson,QB,QB 9,IND,21,5233
27,Saquon Barkley,RB,RB 4,NYG,26,5221
28,Jahmyr Gibbs,RB,RB 5,DET,21,5086
29,DeVonta Smith,WR,WR 10,PHI,24,4950
30,Stefon Diggs,WR,WR 11,BUF,29,4892
31,Deshaun Watson,QB,QB 10,CLE,27,4824
32,2023 Round 1 Pick 4,Pick,Pick 6,-,0,4821
33,Jonathan Taylor,RB,RB 6,IND,24,4772
34,Travis Kelce,TE,TE 1,KC,33,4752
35,Mark Andrews,TE,TE 2,BAL,27,4543
36,Nick Chubb,RB,RB 7,CLE,27,4474
37,Drake London,WR,WR 12,ATL,21,4472
38,Tee Higgins,WR,WR 13,CIN,24,4419
39,Bryce Young,QB,QB 11,CAR,21,4402
40,Austin Ekeler,RB,RB 8,LAC,28,4348
41,Tony Pollard,RB,RB 9,DAL,26,4331
42,Cooper Kupp,WR,WR 14,LAR,29,4305
43,2023 Round 1 Pick 5,Pick,Pick 7,-,0,4282
44,Tua Tagovailoa,QB,QB 12,MIA,25,4247
45,DK Metcalf,WR,WR 15,SEA,25,4226
46,Josh Jacobs,RB,RB 10,LV,25,4220
47,Jaxon Smith-Njigba,WR,WR 16,SEA,21,4203
48,Kyle Pitts,TE,TE 3,ATL,22,4136
49,C.J. Stroud,QB,QB 13,HOU,21,4093
50,Travis Etienne,RB,RB 11,JAX,24,4035
51,Davante Adams,WR,WR 17,LV,30,3938
52,Daniel Jones,QB,QB 14,NYG,26,3916
53,2023 Round 1 Pick 6,Pick,Pick 8,-,0,3821
54,Dak Prescott,QB,QB 15,DAL,29,3808
55,Kyler Murray,QB,QB 16,ARI,25,3775
56,Kenneth Walker,RB,RB 12,SEA,22,3754
57,2023 Mid 1st,Pick,Pick 9,-,0,3474
58,Rhamondre Stevenson,RB,RB 13,NE,25,3407
59,Christian Watson,WR,WR 18,GB,24,3398
